Sequence size,Momentum,decay,Learning rate,Batch Size,Epochs,Neurons,Loss,elapsed_sec
6,0.996758162513794,4.07871841116814E-06,0.066474851366509,26,1062,58,-0.001519190238236,3870.89842820168
7,0.9915872155956,6.19610923047323E-06,0.04722812682524,30,757,53,-0.001545160461618,3747.31929540634
20,0.995160186274722,1.94402388675326E-06,0.098568145658788,22,633,33,-0.001547308610959,13758.2837524414
5,0.998110318553182,3.704615421915E-06,0.040020229334978,8,535,46,-0.001570923476813,503.664415836334
12,0.99173744824012,3.14058575750086E-06,0.011595290180799,15,240,64,-0.001690988026248,1099.89160442352
26,0.998862402142117,2.28928044394003E-06,0.017070720479143,23,517,35,-0.001729652778846,7456.99012112618
19,0.991870082387165,7.49998341607232E-06,0.06698085403926,22,904,47,-0.001774524248463,9124.75245666504
5,0.993106513536022,3.5084243122101E-06,0.091291757401757,27,204,62,-0.001774881823421,1712.87951278687
24,0.993855129643154,6.50773260892317E-06,0.008305516768382,26,652,37,-0.001777467393335,9816.00500702858
11,0.991579509408702,1.57589174803677E-06,0.099403505269941,30,805,75,-0.00179720495138,13239.9398481846
6,0.992591022476268,9.50560307083773E-06,0.088268052134632,9,1165,34,-0.001800430832272,1452.54566812515
26,0.99845561476657,7.40943970946907E-06,0.020469208829951,22,423,87,-0.001816479474525,6257.92384171486
13,0.995197322721467,4.52342823069688E-06,0.048964506688808,20,837,67,-0.001835286969897,5421.93314266205
13,0.997780117773523,7.9964616546128E-06,0.010110858175832,10,796,31,-0.001866995302083,2451.07936453819
25,0.997234242905457,6.19849527355518E-06,0.044106197855533,14,253,91,-0.001878411752706,2351.72053813934
7,0.990598530322428,1.50303763033556E-06,0.099401004375668,26,1060,31,-0.001881840698885,9537.2943944931
6,0.99100630734493,7.20913636174344E-06,0.036878988805321,27,204,77,-0.001894019683908,2590.94862890244
24,0.990525992604564,2.00121714936152E-06,0.014367302120165,29,201,58,-0.001903052454131,5346.02787685394
28,0.996060597131506,4.9390479399877E-06,0.032593446304926,19,319,54,-0.001931512239846,4172.13242101669
8,0.991469604478853,9.63297968279088E-06,0.042744910596873,9,818,17,-0.001935867949038,1345.49250531197
9,0.992316911168211,9.15416910879652E-06,0.056225453678974,8,841,38,-0.002000839296224,1452.61031484604
5,0.991831242099572,1.51521147781315E-06,0.098937541852059,15,1045,54,-0.00204317867339,8785.94243121147
6,0.995672458000315,2.68321815571708E-06,0.016847090949966,17,262,11,-0.002075561008232,615.26337480545
14,0.994097626366803,8.0615890722028E-06,0.025171718117687,10,692,85,-0.002078883045987,2489.3615334034
17,0.996139718768416,8.02759813952137E-06,0.048009676533413,13,234,62,-0.002171747983206,1285.68171191216
8,0.997579301543521,7.55831261619379E-06,0.096496792147995,21,1028,84,-0.002178256707441,7486.49093055725
11,0.997657687275026,6.63540101114755E-06,0.052239638672222,9,380,97,-0.002208236889666,990.163341522217
15,0.992449960577569,1.67072526109642E-06,0.09938798458361,28,595,21,-0.002218096359387,11413.4077811241
11,0.996734849240858,7.39491443876549E-06,0.055988052102729,23,616,36,-0.002223760834841,3713.55228328705
24,0.994035023047338,1.97524911012113E-06,0.010938891997072,28,200,97,-0.002231993389749,5016.5642850399
23,0.997078529490985,9.53652703410837E-06,0.00868776256538,13,444,89,-0.002291253991846,3411.22941565514
8,0.992699949040865,2.40885031314651E-06,0.037776342504776,7,203,67,-0.002297887387043,1405.14585733414
9,0.990146941552535,4.97199985189406E-06,0.096653527470919,25,835,51,-0.002327810468622,7389.00449419022
23,0.991364027695919,9.87847116078779E-06,0.012349148341465,15,1044,38,-0.002352380264271,8670.16495680809
20,0.998663219530722,5.08012395939112E-06,0.038020379689007,11,384,28,-0.002359635977621,2016.74909734726
5,0.994926042246735,5.09151619550711E-06,0.042762927089643,29,200,51,-0.00236936465046,2147.0835006237
14,0.990933522793136,2.49402249318624E-06,0.094662171180525,28,1188,46,-0.00245093892602,11221.691185236
8,0.99208671592589,7.52784398617225E-06,0.088947663208893,14,221,17,-0.002474517025788,584.525423049927
6,0.994339742488852,7.14215060038464E-06,0.078544308819617,19,739,67,-0.002481647968099,2052.37473225594
13,0.997406348364488,7.04443435371464E-06,0.043453258885789,24,548,18,-0.002530696628131,3955.35701370239
30,0.995741777399245,7.46775047233635E-06,0.005209735671653,10,204,69,-0.002531860929585,2647.9179353714
8,0.997964028176324,1.32941044526798E-06,0.099365178209953,6,629,38,-0.002591970072437,6032.87469291687
