Batch size,Momentum,decay,Learning rate,Epochs,Neurons,Sequence size,Loss,elapsed_sec
6,0.991240667639465,3.56676361203171E-06,0.013166598760097,930,59,25,-0.003574877090633,20265.6761739254
5,0.991853678284623,5.15267189187173E-06,0.003053267178334,904,52,16,-0.003646760466533,17835.9961495399
6,0.998953628605224,7.67268730122828E-06,0.004098201715783,459,38,22,-0.003655955308166,6331.58949828148
6,0.991336296075474,3.41595912603484E-06,0.0133496770594,897,42,24,-0.003716560964909,14796.1181635857
6,0.99857177254312,1.97392781953317E-06,0.005171331985243,903,31,24,-0.003727115519801,8714.31672930718
5,0.998289700293148,8.43506519868698E-06,0.009201593884714,695,50,28,-0.003735879984414,8697.08579039574
7,0.998226921010774,1.80060450865817E-06,0.016805445061076,999,27,20,-0.003756864109126,7442.34804725647
24,0.992362607635367,9.3175576519745E-06,0.011340469511871,917,60,10,-0.003778230066278,18287.0642991066
6,0.991292256237124,6.07326385684214E-06,0.004960395380871,914,49,30,-0.003786526759335,20859.6582581997
5,0.99218713344865,8.16712629705044E-06,0.011710816786252,857,44,26,-0.003805167613888,16187.6707274914
7,0.998931833908271,4.86076161143461E-06,0.010672737108914,185,19,30,-0.003837028926399,3009.31561207771
6,0.992380514579325,6.06263787980008E-06,0.006405418747976,867,56,24,-0.003843294724109,17983.856118679
22,0.998796203266727,4.45977820035629E-06,0.014254688313641,101,12,27,-0.003845914683126,1896.82038211823
26,0.998996149697608,6.85723027905152E-06,0.004285464215587,502,33,29,-0.003915913312906,649.164037704468
9,0.99190972985723,6.43677399749506E-06,0.007239398461569,100,85,5,-0.003952092067762,1897.29633760452
5,0.991191065165501,6.69610153100084E-06,0.0092312072692,888,27,26,-0.00396248268984,15538.8872244358
6,0.998921450369381,4.37333542100235E-06,0.010078621722779,834,78,25,-0.003971826609601,7966.8567378521
18,0.991475959773446,1.3603202122639E-06,0.013805861778415,922,40,27,-0.004004184325087,21025.3031625748
6,0.991955373032883,8.13810202791914E-06,0.012652699840556,828,28,12,-0.004021248747787,15284.6248366833
17,0.991876176351458,5.72950691907986E-06,0.006576676100582,917,17,21,-0.004058437382704,19190.9039487839
7,0.998694260201119,6.54488276595896E-06,0.01148203228121,821,54,30,-0.004058773348969,7223.10486459732
14,0.992295099224199,6.65913336459756E-06,0.017828107860495,951,43,26,-0.004061814196943,21025.1694462299
5,0.992516455557051,5.83643318557594E-06,0.014096375347208,982,26,28,-0.004115118888602,21024.8732306957
5,0.990247355389979,5.29036471541873E-06,0.010751194316714,939,7,8,-0.004147028327178,14408.172141552
10,0.998963497477116,5.25786576624794E-06,0.012064974849057,783,35,27,-0.004150479873444,5264.91281604767
6,0.99235738946018,2.91334605809268E-06,0.009309436255344,890,24,11,-0.004160050112678,16546.87226367
14,0.996938689079177,2.85262405145669E-06,0.017883996912572,947,13,26,-0.004186498318264,1895.6750061512
5,0.991648832226488,3.23221532171387E-06,0.012080891973225,916,69,11,-0.00420070838359,19562.3864860535
6,0.998938351724174,4.98760255698541E-06,0.013792860743292,799,26,24,-0.0042064847063,8228.34170222282
5,0.998321912576969,1.76878761105951E-06,0.012561281916773,724,19,13,-0.004235757010168,5138.01025986671
6,0.991839380057536,9.33913144217187E-06,0.017246765952807,885,28,16,-0.00424581336847,17315.0462853909
5,0.99891990114377,3.9230933704473E-06,0.011481322507748,424,27,26,-0.004247781106003,6433.93291974068
5,0.997396829624629,4.44356662305937E-06,0.015217759368609,793,85,27,-0.004280120488553,10749.3925626278
5,0.990230872260712,8.04610639168327E-06,0.02308484253693,916,70,29,-0.004285630956543,17242.811776638
28,0.996669966311173,1.16449318641142E-06,0.019269556468254,996,11,21,-0.004294050283926,4778.15276122093
5,0.991737345334041,6.310503423629E-06,0.019513031626439,994,47,21,-0.004312146847185,15808.2676408291
5,0.991797371047471,8.07607855034427E-06,0.003121242851203,965,92,5,-0.004312164941567,19235.0073091984
5,0.991790957267642,9.42495297532597E-06,0.014930439804267,910,62,16,-0.00434684603897,19482.6312568188
5,0.990818594859248,6.63322227947178E-06,0.005887106458292,853,53,23,-0.004373359530674,16546.8628866673
6,0.998228802220014,4.35642639942992E-06,0.006033531494929,817,15,29,-0.004375486679736,8622.23474478722
6,0.992315803568392,4.33005858858459E-06,0.005267634145443,942,84,14,-0.004403549661745,19234.8992745876
11,0.996636788372391,1.06102091789461E-06,0.012056765296076,437,57,14,-0.00440677657205,4490.49305152893
6,0.99874574533773,7.49399309435058E-06,0.011091921939402,892,88,24,-0.00441313311309,8986.22693920136
6,0.991149546471422,5.280831836313E-06,0.010922840783127,955,81,16,-0.004486027581152,20120.940921545
5,0.990571214715408,7.50838635422171E-06,0.016494002153881,857,65,28,-0.004579801530507,19732.9149241447
18,0.991722671045594,7.12005702233532E-06,0.011233257431792,942,48,30,-0.004583122539184,21218.2422311306
6,0.991469152114652,8.40364004445871E-06,0.012474238527742,868,71,13,-0.004585507684075,16736.9996194839
18,0.991806462688271,2.79637655770504E-06,0.007124190947082,916,69,22,-0.004588978404277,20021.0522758961
6,0.990803826123921,9.95168721310534E-06,0.019633257113856,890,73,16,-0.00461699567677,15203.9659929276
15,0.992049147560415,8.48329750683409E-06,0.024333796373712,933,86,25,-0.004618278191861,21394.111011982
7,0.998444489413834,1.87402578815404E-06,0.008145561233002,397,86,29,-0.004695749355941,6240.48843145371
23,0.99762867436303,7.78853882577569E-06,0.012144910292623,279,41,25,-0.004737777080625,414.664825439453
5,0.991161186570882,7.42033110088614E-06,0.015276060993489,881,14,23,-0.004742734795926,16325.6052215099
15,0.991753704191036,2.57058840071248E-06,0.008943369724528,914,92,26,-0.004772896001591,20021.044172287
7,0.998868730900703,8.58260726787365E-06,0.014967232470082,824,63,26,-0.004825150533431,8068.02875113487
24,0.997686607777605,8.36802534182248E-06,0.012669091072979,865,85,10,-0.004877554556849,648.790122747421
5,0.994796747056394,4.94030120965139E-06,0.013630986968683,812,75,27,-0.004890351427442,16106.9817018509
5,0.998380577132651,5.03695381339116E-06,0.008642744592862,694,67,28,-0.004894097916461,8594.66470789909
12,0.998116637722192,9.46257324989737E-06,0.0084631735811,698,10,26,-0.004965995284828,5430.60393595696
6,0.998976462603155,1.24076099151314E-06,0.016010409052923,939,88,26,-0.004981630840933,9392.56059837341
7,0.998623379518845,1.43977062600773E-06,0.01211460897902,977,74,25,-0.005022562519484,8862.32573056221
6,0.991622386356531,8.06558098372835E-06,0.016532354945908,831,69,16,-0.005024075733672,16260.5271892548
6,0.991125910011625,4.44048285385844E-06,0.011406953195967,979,47,29,-0.005025598603571,16546.7528309822
6,0.991989584734904,4.68547499623078E-06,0.012354025807015,870,43,19,-0.005046650170698,17880.6911661625
16,0.998913076332305,7.58272345293056E-06,0.007684502303648,801,15,28,-0.005061981408426,5776.53192806244
5,0.991213721513619,8.25759659192704E-06,0.002766173291675,851,5,18,-0.005077722456311,19094.4202878475
6,0.994841840966419,5.40244207130766E-06,0.005755084016837,875,50,25,-0.005081553080867,12363.8780503273
24,0.998890628464995,8.03675168616129E-06,0.002552267130953,102,77,19,-0.005082911811769,4009.63353538513
5,0.991190960027028,2.20394840903622E-06,0.013555549466331,944,61,10,-0.005091383130223,20584.1626622677
17,0.998936600489884,9.52791629194826E-06,0.010788388439907,268,89,17,-0.005128056436661,414.999273061752
5,0.991248052412059,3.02061380684702E-06,0.015077675131611,902,19,21,-0.005141678805414,20859.6767625809
6,0.990594866484252,8.10327057291568E-06,0.011256113170943,347,51,24,-0.005196593706793,1895.47399497032
23,0.995677631655311,1.05417504493508E-06,0.000213317423319,999,86,28,-0.00520079073237,1895.83879089355
5,0.991585951812879,5.1158430609507E-06,0.013399643845325,919,30,15,-0.005227416392521,17880.616843462
8,0.998721737103099,5.46010530868828E-06,0.003751285751882,102,35,23,-0.005243770881115,1100.38146710396
10,0.998929283780707,7.13400907561864E-06,0.007367820987229,815,57,28,-0.005253160953201,6673.71791911125
26,0.997084383110644,2.55657689913807E-06,0.013888036204154,214,51,27,-0.005262440917617,4490.60502195358
5,0.996833305109317,6.28210022236164E-06,0.017083492948846,914,52,28,-0.005289983988229,11997.4000339508
6,0.992042987948977,9.11236926960964E-06,0.026705562957126,975,25,20,-0.005337917201809,15872.7497022152
